DPP_ID,Sector,Product_Name,Manufacturer,Manufacturing_Country_ISO2,Manufacturing_Date,Product_Version,Unit_of_Measure,Product_Weight_kg,Expected_Lifetime_Years,Primary_Material_pct,Secondary_Material_pct,Other_Materials_pct,Recycled_Content_pct,Bio_Based_Content_pct,CRM_Composition_detail,CRM_Total_pct,Hazardous_Substances,Hazardous_Flag,GWP_Total_kgCO2eq,GWP_A1_A3_Extraction_kgCO2eq,GWP_A4_A5_Manufacturing_kgCO2eq,GWP_B_Use_Phase_kgCO2eq,GWP_C_EoL_kgCO2eq,LCA_Extraction_pct,LCA_Manufacturing_pct,LCA_Use_Phase_pct,LCA_EoL_pct,LCA_Sum_check,Energy_Manufacturing_MJ,Renewable_Energy_Share_pct,Water_Usage_Litres,Land_Use_m2a,Eutrophication_kgPeq,Acidification_molHp,Particulate_Matter_kgPM25eq,Resource_Depletion_kgSbeq,Recyclability_Score_pct,Repairability_Score_1_10,Durability_Index_0_1,Disassembly_Time_min,Spare_Parts_Available_Years,Design_for_Disassembly,Remanufacturing_Potential,EoL_Scenario,EoL_Recovery_Rate_pct,EoL_Treatment_Country,Collection_Infrastructure,Primary_Supply_Country,Supply_Concentration_Risk_1_10,Transport_Distance_km,Transport_GWP_kgCO2eq,Conflict_Minerals_Flag,Social_Risk_Score_1_10,Certifications,REACH_SVHC_Compliant,RoHS_Compliant,ESPR_Applicable,EU_Battery_Reg_Applicable,CRMA_Strategic_Material,DPP_Completeness_Score,DPP_Data_Quality,DPP_Verifier,DPP_Issue_Date,DPP_Expiry_Date,DPP_Standard_Version,Data_Source,Anomaly_Flag,Anomaly_Type,Anomaly_Severity,Unnamed: 70,Unnamed: 71,ANOMALY LABELS
DPP-TEX-00251,Textile,Smart Textile Sensor Shirt,Patagonia Inc. (US),PT,2023-06-20,v2.4,kg/unit,0.105,5,24.73,32.85,42.42,-49.2106597444986,11.9,Indium (flexible display integration): 7.3402%; Dysprosium (smart textile): 0.4895%; Silver (conductive): 2.3377%,10.1674,None declared,False,5.44,,0.83,1.75,0.44,44.6,15.2,32.2,8.0,100,1.99,5.8,42.36,48.807,35.54946,2.92477,3.94406,,71.7,9.0,0.821,75.0,2.0,Yes,High,Mechanical recycling,25.0,PL,Municipal WEEE,NG,4.6,13726.0,0.36,False,8.5,ISO 50001,True,True,True,False,True,0.807,High,SGS,2023-07-02,2028-06-30,ESPR 2024/1781 v1.0,Third-party audit,True,Negative recycled content (format error),High,,,
DPP-TEX-00252,Textile,Recycled PET Fleece Jacket,IndiTex Group (ES),DE,2023-02-14,v4.3,kg/unit,0.659,4,3.73,49.04,47.23,42.0,16.1,Silver (conductive): 0.8947%; Dysprosium (smart textile): 1.8497%; Indium (flexible display integration): 0.0645%,2.8089,PFAS (DWR coating),True,2519.85,1030.62,892.03,196.55,400.66,40.9,35.4,7.8,,100,8.77,70.5,211.74,72.361,46.18341,8.81295,1.093872,0.0505286,100.0,5.3,0.732,83.0,3.0,No,Not assessed,Chemical recycling (pyrolysis),62.8,PT,Take-back scheme,ID,5.5,4330.0,0.713,False,1.9,Bluesign®; Cradle to Cradle Certified; OEKO-TEX® STANDARD 100; ISO 14040/44 LCA,False,True,False,False,,0.828,High,Intertek,2023-06-10,2025-06-09,ESPR 2024/1781 v1.0,Modelled (SimaPro),False,Normal,,,,
DPP-TEX-00253,Textile,Recycled PET Fleece Jacket,BASF SE (DE),IT,2024-01-27,v1.8,kg/unit,1.177,10,41.05,13.1,45.85,93.5,37.8,Indium (flexible display integration): 5.8689%; Dysprosium (smart textile): 0.6787%,6.5476,Chlorine bleach,True,5740.99,2072.5,1153.94,2204.54,310.01,36.1,20.1,38.4,,100,58.14,55.4,349.51,132.264,42.39927,9.60969,3.385758,1.0516453,27.6,4.4,0.719,68.0,0.0,Partial,Low,Upcycling to new application,14.4,PE,Not established,ZA,6.2,1567.0,0.461,False,9.0,EN 15804+A2; CE Marking; ESPR Regulation EU/2024/1781; FSC Certified,False,True,False,False,True,0.604,High,Intertek,2024-03-26,2025-03-26,ESPR 2024/1781 v1.0,Manufacturer declaration,False,Normal,,,,
DPP-TEX-00254,Textile,Smart Textile Sensor Shirt,HeidelbergMaterials (DE),FR,2022-05-25,v5.5,kg/unit,2.699,3,51.47,48.53,0,69.1,20.1,Dysprosium (smart textile): 5.4691%,5.4691,None declared,False,6742.05,1678.77,2177.68,782.08,2103.52,24.9,32.3,11.6,31.2,100,92.29,29.0,231.88,77.803,21.05548,19.35375,4.337887,1.3601682,100.0,4.8,0.384,201.0,0.0,Partial,High,Landfill (residual waste),64.0,CH,Take-back scheme,RU,3.4,756.0,0.51,False,8.7,EU Battery Regulation 2023/1542,True,True,False,False,True,0.829,High,Bureau Veritas,2022-10-03,2024-10-02,ESPR 2024/1781 v1.0,Third-party audit,False,Normal,,,,
DPP-TEX-00255,Textile,Smart Textile Sensor Shirt,Umicore NV (BE),HU,2025-10-20,v2.4,kg/unit,3.342,6,7.46,23.81,68.73,50.8,33.6,Indium (flexible display integration): 2.3665%,2.3665,PFAS (DWR coating); Azo dyes,True,11740.8,3064.35,4379.32,4250.17,46.96,26.1,,36.2,0.4,100,55.14,19.5,1580.29,185.146,40.4691,8.23648,4.561822,0.3696631,61.5,1.6,0.444,231.0,3.0,Yes,Not assessed,Pyrometallurgical smelting,92.2,PT,PRO (Producer Responsibility),CN,5.3,2536.0,2.119,False,9.1,Cradle to Cradle Certified; ISO 50001; Bluesign®; EU Battery Regulation 2023/1542,True,True,False,False,True,0.986,Medium,SGS,2025-12-02,2027-12-02,ESPR 2024/1781 v1.0,Manufacturer declaration,False,Normal,,,,
DPP-TEX-00256,Textile,Organic Cotton T-Shirt,Holcim Group (CH),BE,2018-04-22,v2.4,kg/unit,3.251,6,20.61,33.56,45.83,17.3,15.1,Indium (flexible display integration): 1.5487%; Silver (conductive): 4.9164%,6.4651,None declared,False,572.86,249.19,134.62,105.41,83.64,43.5,23.5,18.4,14.6,100,,57.2,947.87,187.308,25.61985,3.75723,2.050617,0.4031515,62.2,2.5,0.543,56.0,3.0,No,Medium,Chemical recycling (pyrolysis),,BE,Take-back scheme,MX,1.6,14827.0,12.051,False,2.9,EPD (Environmental Product Declaration); Cradle to Cradle Certified,True,True,True,False,True,0.459,High,Self-declared,2018-06-30,2021-06-29,ESPR 2024/1781 v1.0,Hybrid (measured + modelled),False,Normal,,,,
DPP-TEX-00257,Textile,Bio-Based Nylon Sportswear,BASF SE (DE),FR,2024-08-21,v5.4,kg/unit,4.011,6,29.71,29.7,40.59,58.9,17.9,Indium (flexible display integration): 4.3285%,4.3285,Azo dyes,True,18742.64,8340.47,7665.74,4948.06,-2211.63,44.5,40.9,26.4,-11.8,,80.85,28.6,756.78,192.574,24.02224,7.17057,2.160732,0.6515915,63.0,6.5,0.481,5.0,5.0,Partial,Low,Chemical recycling (pyrolysis),50.3,CL,Municipal WEEE,CN,8.8,15611.0,15.654,False,9.5,EPD (Environmental Product Declaration); ISO 14001:2015; ISO 14040/44 LCA; EU Battery Regulation 2023/1542,True,True,True,False,True,0.792,High,TÜV SÜD,2024-09-06,2026-09-06,ESPR 2024/1781 v1.0,Hybrid (measured + modelled),False,Normal,,,,
DPP-TEX-00258,Textile,Bamboo Jersey Knit,Verkor SAS (FR),FI,2022-03-22,v4.7,kg/unit,4.385,5,35.27,64.73,0,54.9,5.9,Silver (conductive): 4.8745%; Dysprosium (smart textile): 6.4517%; Indium (flexible display integration): 3.4672%,14.7934,PFAS (DWR coating); Phthalates,True,4294.46,1198.15,974.84,1296.93,824.54,27.9,22.7,30.2,19.2,100,18.95,80.4,1687.79,170.031,37.36815,4.31342,1.520293,0.562525,24.1,4.4,0.533,232.0,4.0,Partial,Low,Pyrometallurgical smelting,10.1,ES,Industrial collection,BR,9.3,15488.0,16.979,False,7.7,CE Marking; FSC Certified,True,True,True,False,True,0.947,Medium,DNV,2022-06-29,2027-06-28,ESPR 2024/1781 v1.0,Manufacturer declaration,False,Normal,,,,
DPP-TEX-00259,Textile,Modal Viscose Blouse,Infineon (DE),DE,2020-09-10,v2.8,kg/unit,2.433,8,,9.52,70.99,65.2,16.9,Silver (conductive): 2.2610%; Indium (flexible display integration): 1.2860%; Dysprosium (smart textile): 8.1459%,11.6929,Phthalates,True,5684.11,727.57,2040.6,983.35,1932.6,12.8,35.9,17.3,34.0,100,36.43,20.9,92.6,150.876,47.6916,18.27585,4.324609,0.2602761,100.0,2.9,0.735,15.0,0.0,No,Not assessed,Mechanical recycling,60.2,IT,Municipal WEEE,US,1.3,7422.0,4.514,True,8.8,REACH Reg. EC/1907/2006; Bluesign®; ESPR Regulation EU/2024/1781; EN 15804+A2,True,True,True,False,True,0.583,Low,DEKRA,2020-11-26,2023-11-26,ESPR 2024/1781 v1.0,Hybrid (measured + modelled),False,Normal,,,,
DPP-TEX-00260,Textile,PLA Biodegradable Sportswear,Covestro AG (DE),CZ,2022-07-14,v2.3,kg/unit,1.781,10,27.51,20.05,52.44,28.6,29.3,Indium (flexible display integration): 5.4598%,5.4598,None declared,False,2459.86,386.2,568.23,322.24,1183.19,15.7,23.1,13.1,48.1,100,860.48,42.5,511.41,37.187,8.38381,9.10469,4.323734,1.6552293,62.1,1.2,0.495,116.0,3.0,Yes,Medium,Second-life cascade application,57.1,FI,PRO (Producer Responsibility),IN,2.4,4635.0,2.064,False,3.5,ISO 14040/44 LCA; ISO 50001; CE Marking,True,True,False,False,True,0.743,Medium,TÜV SÜD,2022-10-10,2026-10-09,ESPR 2024/1781 v1.0,Third-party audit,True,Energy consumption outlier,Medium,,,
DPP-TEX-00261,Textile,Flame-Retardant Technical Fabric,Arkema SA (FR),RO,2021-09-14,v1.9,kg/unit,1.869,9,60.33,39.67,0,,12.6,Silver (conductive): 6.4446%; Indium (flexible display integration): 1.5196%,7.9642,Azo dyes; PFAS (DWR coating),,5491.13,1147.65,2289.8,1372.78,680.9,20.9,41.7,25.0,12.4,100,51.27,40.1,669.57,8.21,9.6604,1.81447,0.435871,1.4474609,12.5,5.8,0.873,208.0,3.0,Yes,Medium,Upcycling to new application,21.2,ZA,Take-back scheme,MX,2.6,16474.0,7.697,True,4.0,Bluesign®,True,True,True,False,True,0.785,Low,Intertek,2022-01-20,2024-01-20,ESPR 2024/1781 v1.0,Third-party audit,False,Normal,,,,
DPP-TEX-00262,Textile,Recycled Wool Blanket,Freyr Battery (NO),BE,2018-03-12,v3.7,kg/unit,0.388,9,72.83,11.01,16.16,40.2,2,Indium (flexible display integration): 2.1330%,2.133,PFAS (DWR coating); Phthalates,True,1038.97,255.59,338.7,97.66,347.02,24.6,32.6,9.4,,100,13.34,,122.77,99.844,7.28922,0.93348,3.226978,0.9266105,100.0,6.9,0.567,149.0,6.0,No,Low,Hydrometallurgical recovery,12.7,DK,Not established,BR,3.4,,1.005,False,7.6,Bluesign®,True,True,True,False,True,0.452,Low,Intertek,2018-05-19,2020-05-18,ESPR 2024/1781 v1.0,Hybrid (measured + modelled),False,Normal,,,,
DPP-TEX-00263,Textile,Hemp-Cotton Blend Denim,Verkor SAS (FR),SE,2020-06-22,v3.1,kg/unit,2.623,8,8.18,21.16,70.66,8.8,20.8,Silver (conductive): 5.9297%; Indium (flexible display integration): 7.7471%; Dysprosium (smart textile): 5.2173%,18.8941,None declared,False,971.53,229.28,472.16,190.42,79.67,23.6,48.6,19.6,8.2,100,17.01,67.8,1216.4,168.669,38.26507,14.59732,2.800641,1.9014773,8.1,1.9,0.809,47.0,6.0,Partial,Low,Mechanical recycling,91.1,NO,PRO (Producer Responsibility),MX,6.3,12011.0,7.876,True,6.3,CE Marking; ISO 14040/44 LCA; OEKO-TEX® STANDARD 100; EPD (Environmental Product Declaration),True,True,True,False,True,0.788,Medium,Intertek,2020-07-06,2022-07-06,ESPR 2024/1781 v1.0,Hybrid (measured + modelled),False,Normal,,,,
DPP-TEX-00264,Textile,Aramid Protective Workwear,Patagonia Inc. (US),PL,2022-10-16,v5.6,kg/unit,2.722,5,18.79,38.49,42.72,7.9,17.8,Silver (conductive): 4.2752%; Indium (flexible display integration): 5.1958%,9.471,Formaldehyde,True,4409.02,1291.84,,634.9,1080.21,29.3,31.8,14.4,24.5,100,38.4,64.7,443.03,114.968,41.95168,13.03862,3.949566,1.2376411,50.2,4.2,0.44,225.0,2.0,No,Low,Composting (bio-based only),70.2,PL,PRO (Producer Responsibility),DRC,6.7,16635.0,11.32,False,3.4,WEEE Directive 2012/19/EU; EU Battery Regulation 2023/1542; ESPR Regulation EU/2024/1781; Bluesign®; CE Marking,False,True,True,False,True,0.981,High,DEKRA,2022-11-11,2025-11-10,ESPR 2024/1781 v1.0,Modelled (SimaPro),False,Normal,,,,
DPP-TEX-00265,Textile,Recycled Fishing Net Swimwear,Johnson Matthey PLC (UK),DK,2021-05-13,v5.1,kg/unit,2.812,2,18.72,33.29,47.99,58.6,32.8,Silver (conductive): 6.3584%,6.3584,Chlorine bleach,True,5611.88,2497.29,1795.8,2104.45,-785.66,44.5,32.0,37.5,-14.0,100,46.07,29.7,383.33,176.15,22.22293,12.53112,3.414034,1.6060411,51.6,9.0,0.329,214.0,1.0,No,High,Upcycling to new application,92.0,RO,Take-back scheme,BR,7.3,8974.0,6.309,True,8.9,Cradle to Cradle Certified,True,True,True,False,True,0.633,Medium,DNV,2021-08-07,2026-08-06,ESPR 2024/1781 v1.0,Third-party audit,False,Normal,,,,
DPP-TEX-00266,Textile,Recycled Wool Blanket,EnerTeck (FR),NO,2021-01-19,v4.7,kg/unit,2.256,7,28.8,8.07,63.13,10.2,4.9,Silver (conductive): 4.0972%; Dysprosium (smart textile): 3.0804%,7.1776,Chlorine bleach,True,2970.38,1122.8,665.37,1015.87,166.34,37.8,22.4,34.2,5.6,100,25.29,28.3,863.89,107.409,12.6138,9.09763,1.143658,0.5754799,93.7,8.7,0.86,43.0,2.0,No,Medium,Mechanical recycling,83.0,IT,Municipal WEEE,CA,6.5,16167.0,9.118,False,7.2,RoHS Directive 2011/65/EU; Bluesign®; ISO 50001; EU Battery Regulation 2023/1542,False,True,True,False,True,0.926,Low,Bureau Veritas,2021-05-01,2026-04-30,ESPR 2024/1781 v1.0,Third-party audit,False,Normal,,,,
DPP-TEX-00267,Textile,Conventional Polyester Fabric Roll,Automotive Cells Co. (FR),DE,2021-05-16,v1.7,kg/unit,0.189,2,59.82,18.38,21.8,4.2,31.6,Indium (flexible display integration): 5.3893%; Silver (conductive): 0.8252%,6.2145,Phthalates; Chlorine bleach,True,680.75,260.05,267.53,266.17,-113.0,38.2,39.3,39.1,-16.6,100,1.19,22.9,33.01,63.868,1.67314,10.86038,3.503675,0.3562042,50.9,7.4,,69.0,2.0,Partial,Low,Energy recovery (incineration),13.3,PT,PRO (Producer Responsibility),CN,2.7,14861.0,0.702,True,4.6,ISO 14001:2015,True,True,True,False,True,0.493,Low,Intertek,2021-06-02,2022-06-02,ESPR 2024/1781 v1.0,Modelled (SimaPro),False,Normal,,,,
DPP-TEX-00268,Textile,Organic Cotton T-Shirt,Saint-Gobain (FR),IT,2023-11-01,v3.2,kg/unit,4.82,4,16.44,83.56,0,89.7,36.9,Dysprosium (smart textile): 6.8410%; Silver (conductive): 6.5828%; Indium (flexible display integration): 3.7197%,17.1435,Chlorine bleach,True,19611.64,4628.35,3118.25,2176.89,9688.15,23.6,15.9,11.1,49.4,100,204.87,49.8,437.55,198.333,39.48612,10.93154,4.030163,0.293502,61.0,5.2,0.714,64.0,0.0,No,Low,Hydrometallurgical recovery,88.0,CH,Industrial collection,ID,4.9,10541.0,12.702,False,5.1,OEKO-TEX® STANDARD 100,,True,False,False,True,0.519,Medium,Bureau Veritas,2023-12-23,2024-12-22,ESPR 2024/1781 v1.0,Modelled (SimaPro),False,Normal,,,,
DPP-TEX-00269,Textile,Merino Wool Base Layer,Automotive Cells Co. (FR),FI,2024-01-28,v4.8,kg/unit,1.115,7,76.48,23.52,,23.7,32.6,Dysprosium (smart textile): 4.3243%,4.3243,Formaldehyde,True,2613.1,702.92,1060.92,141.11,708.15,26.9,40.6,5.4,27.1,100,23.58,18.9,370.76,87.098,11.31018,16.54238,0.80926,1.6899028,100.0,5.2,0.401,145.0,0.0,Partial,Low,Landfill (residual waste),47.1,NO,Industrial collection,US,,11494.0,3.204,False,6.5,ISO 14040/44 LCA; WEEE Directive 2012/19/EU,False,True,True,False,True,0.531,Low,Intertek,2024-06-20,2029-06-19,ESPR 2024/1781 v1.0,Manufacturer declaration,False,Normal,,,,
DPP-TEX-00270,Textile,Organic Cotton T-Shirt,Verkor SAS (FR),DE,2024-03-04,v2.3,kg/unit,3.568,8,19.16,23.11,57.73,-37.52759197191812,25.4,Indium (flexible display integration): 1.2119%; Dysprosium (smart textile): 7.1674%,8.3793,Azo dyes; Chlorine bleach,True,13785.06,3156.78,,3115.42,4328.51,22.9,23.1,22.6,31.4,100,53.42,60.1,1217.53,124.312,28.3135,0.23968,1.102813,1.6160542,16.2,5.0,0.92,79.0,1.0,Partial,Not assessed,Landfill (residual waste),37.4,IT,Municipal WEEE,ID,6.2,13910.0,12.408,False,9.4,ISO 14040/44 LCA; ISO 14001:2015; EN 15804+A2,True,True,True,False,True,0.854,Low,TÜV SÜD,2024-04-05,2026-04-05,ESPR 2024/1781 v1.0,Manufacturer declaration,True,Negative recycled content (format error),High,,,
DPP-TEX-00271,Textile,Tencel Lyocell Dress,Knauf Insulation (DE),PT,2021-09-27,v4.5,kg/unit,4.571,8,25.86,42.4,31.74,34.1,,Dysprosium (smart textile): 2.5756%; Indium (flexible display integration): 2.3949%,4.9705,PFAS (DWR coating); Formaldehyde,True,16019.36,7112.6,6471.82,2018.44,416.5,44.4,40.4,12.6,2.6,100,27.16,43.5,212.14,68.888,39.51265,3.03486,1.937067,1.1532347,7.6,3.6,0.639,110.0,5.0,No,Low,Second-life cascade application,73.2,ES,PRO (Producer Responsibility),CA,5.3,14992.0,17.132,True,7.8,ISO 14040/44 LCA,True,True,False,False,True,0.478,High,DNV,2022-01-15,2025-01-14,ESPR 2024/1781 v1.0,Modelled (SimaPro),False,Normal,,,,
DPP-TEX-00272,Textile,Recycled PET Fleece Jacket,Verkor SAS (FR),FI,2021-03-23,v3.8,kg/unit,1.088,4,29.18,26.09,44.73,70.8,19.2,Dysprosium (smart textile): 1.8411%; Indium (flexible display integration): 5.0139%; Silver (conductive): 1.9609%,8.8159,Phthalates,True,122.77,29.46,48.86,7.37,37.08,24.0,39.8,6.0,30.2,100,46.16,80.5,515.53,113.2,12.2712,2.32984,2.893329,1.5068894,100.0,7.1,0.302,147.0,1.0,Partial,High,Pyrometallurgical smelting,40.0,CN,PRO (Producer Responsibility),IN,4.5,14036.0,3.818,False,4.3,EU Battery Regulation 2023/1542; ISO 14040/44 LCA; EN 15804+A2; ESPR Regulation EU/2024/1781; REACH Reg. EC/1907/2006,True,True,True,False,True,0.583,High,TÜV SÜD,2021-07-08,2024-07-07,ESPR 2024/1781 v1.0,Manufacturer declaration,False,Normal,,,,
DPP-TEX-00273,Textile,Recycled Fishing Net Swimwear,Verkor SAS (FR),FI,2024-06-18,v1.4,kg/unit,4.105,8,38.52,32.59,28.89,68.5,26,Silver (conductive): 3.6362%; Dysprosium (smart textile): 2.0005%,5.6367,None declared,,11122.63,3080.97,3503.63,633.99,3904.04,27.7,31.5,5.7,35.1,100,16.51,1.5,85.02,105.414,4.88466,3.42317,3.404762,1.1423089,47.1,2.4,0.315,164.0,0.0,No,Low,Chemical recycling (pyrolysis),73.6,NO,Take-back scheme,RU,3.7,17053.0,17.501,True,3.1,RoHS Directive 2011/65/EU,False,True,True,False,True,0.601,Medium,Intertek,2024-08-02,2025-08-02,ESPR 2024/1781 v1.0,Hybrid (measured + modelled),False,Normal,,,,
DPP-TEX-00274,Textile,Hemp-Cotton Blend Denim,Covestro AG (DE),AT,2020-07-18,v3.8,kg/unit,3.555,10,18.72,53.8,27.48,91.4,6.3,Silver (conductive): 4.8947%,4.8947,None declared,False,13401.52,4087.46,4382.3,3457.59,1474.17,30.5,32.7,25.8,11.0,100,18.65,11.1,951.98,187.582,30.06491,10.34311,2.727113,1.3862043,100.0,8.3,0.354,202.0,,Yes,Low,Landfill (residual waste),17.3,ZA,Not established,ZA,9.8,16282.0,14.471,False,,REACH Reg. EC/1907/2006; FSC Certified; WEEE Directive 2012/19/EU; EU Battery Regulation 2023/1542,True,True,False,False,True,0.833,High,Self-declared,2020-10-15,2022-10-15,ESPR 2024/1781 v1.0,Hybrid (measured + modelled),False,Normal,,,,
DPP-TEX-00275,Textile,Merino Wool Base Layer,Freyr Battery (NO),RO,2025-10-15,v2.3,kg/unit,3.918,3,31.66,14.77,53.57,46.7,10.9,Silver (conductive): 7.8449%; Dysprosium (smart textile): 1.8848%,9.7297,Azo dyes; PFAS (DWR coating),True,11664.61,1516.4,5657.34,4350.9,139.98,13.0,48.5,,,100,123.47,68.1,115.07,20.051,8.18003,11.5046,3.186894,1.6681299,49.8,2.0,0.798,181.0,1.0,Partial,Low,Hydrometallurgical recovery,44.8,BE,Not established,PE,5.4,15606.0,15.286,False,7.2,EPD (Environmental Product Declaration); OEKO-TEX® STANDARD 100; ISO 14001:2015; FSC Certified,False,True,True,False,True,0.799,High,SGS,2025-11-26,2030-11-25,ESPR 2024/1781 v1.0,Manufacturer declaration,False,Normal,,,,
DPP-TEX-00276,Textile,Bio-Based Nylon Sportswear,Victrex PLC (UK),AT,2025-09-02,v2.4,kg/unit,2.915,10,81.45,,,82.6,22.8,Silver (conductive): 6.2870%; Dysprosium (smart textile): 5.7142%,12.0012,None declared,False,11531.54,3932.26,2433.15,2467.75,2698.38,34.1,21.1,21.4,23.4,100,101.23,31.8,487.45,39.626,35.72925,9.17327,0.274918,0.4603107,100.0,,0.455,6.0,7.0,Yes,Low,Pyrometallurgical smelting,34.4,AT,Municipal WEEE,BR,9.1,12258.0,8.933,False,1.4,EN 15804+A2,True,True,True,False,True,0.992,Medium,SGS,2025-10-07,2027-10-07,ESPR 2024/1781 v1.0,Modelled (SimaPro),False,Normal,,,,
DPP-TEX-00277,Textile,Organic Cotton T-Shirt,EnerTeck (FR),NO,2021-07-10,v5.6,kg/unit,1.854,2,19.04,12.79,68.17,67.0,23.8,Dysprosium (smart textile): 8.1501%; Indium (flexible display integration): 5.3740%,13.5241,None declared,False,9090.73,2209.05,,2945.4,2518.13,24.3,15.6,32.4,27.7,100,11.32,39.1,380.6,169.075,3.86825,3.79776,1.078938,1.9287049,15.0,5.8,0.555,228.0,1.0,Yes,High,Pyrometallurgical smelting,37.8,DE,Not established,MX,8.0,8302.0,3.848,True,,REACH Reg. EC/1907/2006,True,True,True,,True,0.473,Medium,TÜV SÜD,2021-10-08,2026-10-07,ESPR 2024/1781 v1.0,Hybrid (measured + modelled),False,Normal,,,,
DPP-TEX-00278,Textile,Conventional Polyester Fabric Roll,Automotive Cells Co. (FR),SE,2025-02-02,v4.1,kg/unit,1.046,4,53.85,26.24,19.91,64.2,14,Silver (conductive): 3.9673%; Dysprosium (smart textile): 1.9056%,5.8729,PFAS (DWR coating); Azo dyes,True,260.07,62.42,79.32,93.63,24.71,24.0,30.5,36.0,9.5,100,39.79,51.6,305.45,197.729,18.27278,8.04401,4.984563,0.4978951,55.1,4.1,0.499,,3.0,Yes,High,Landfill (residual waste),88.5,IT,Industrial collection,ID,5.3,,2.668,False,6.3,RoHS Directive 2011/65/EU; ESPR Regulation EU/2024/1781; FSC Certified; Bluesign®,True,True,True,False,True,0.68,Low,TÜV SÜD,2025-07-05,2028-07-04,ESPR 2024/1781 v1.0,Manufacturer declaration,False,Normal,,,,
DPP-TEX-00279,Textile,Conventional Polyester Fabric Roll,Freyr Battery (NO),NL,2022-05-24,v2.7,kg/unit,1.151,4,27.4,32.48,40.12,97.4,6.6,Indium (flexible display integration): 1.8758%,1.8758,PFAS (DWR coating); Chlorine bleach,True,172.18,22.04,39.26,18.08,92.81,12.8,22.8,10.5,53.9,100,17.76,21.2,539.15,197.183,,17.9329,1.434921,0.7445669,71.4,3.5,0.606,137.0,3.0,Partial,Not assessed,Composting (bio-based only),97.2,HU,Industrial collection,CA,4.5,9265.0,,True,2.7,Bluesign®; ISO 50001; REACH Reg. EC/1907/2006; ISO 14040/44 LCA,True,True,False,False,True,0.737,Medium,Bureau Veritas,2022-07-10,2025-07-09,ESPR 2024/1781 v1.0,Modelled (SimaPro),False,Normal,,,,
DPP-TEX-00280,Textile,Organic Cotton T-Shirt,Victrex PLC (UK),CZ,2018-06-20,v2.4,kg/unit,1.209,2,60.33,39.67,0,87.3,20.6,Dysprosium (smart textile): 5.7750%; Indium (flexible display integration): 5.3697%; Silver (conductive): 6.9054%,18.0501,PFAS (DWR coating),True,3652.91,683.09,1282.17,189.95,1497.69,18.7,35.1,5.2,41.0,100,5.27,9.4,159.45,186.136,42.89341,17.09805,3.167477,0.6241078,100.0,6.1,0.821,,2.0,No,High,Second-life cascade application,21.0,PL,Take-back scheme,MX,9.5,17220.0,5.205,False,3.8,EN 15804+A2; EU Battery Regulation 2023/1542; Bluesign®; WEEE Directive 2012/19/EU; RoHS Directive 2011/65/EU,True,True,True,False,True,0.758,Medium,SGS,2018-07-16,2019-07-16,ESPR 2024/1781 v1.0,Manufacturer declaration,False,Normal,,,,
DPP-TEX-00281,Textile,Organic Cotton T-Shirt,Arkema SA (FR),RO,2021-05-15,v5.4,kg/unit,0.447,7,,86.02,0,3.6,23.4,Dysprosium (smart textile): 3.6321%,3.6321,Formaldehyde,True,522.43,64.26,196.43,34.48,227.26,12.3,37.6,6.6,43.5,100,10.95,44.1,211.87,,13.58192,5.04726,0.346775,0.024244,97.5,1.2,0.674,98.0,5.0,Partial,Medium,Upcycling to new application,45.8,NL,Industrial collection,ZA,3.9,7191.0,0.804,True,1.2,CE Marking; EU Battery Regulation 2023/1542; ISO 14001:2015; OEKO-TEX® STANDARD 100,True,True,True,False,True,0.604,Low,Intertek,2021-09-04,2025-09-03,ESPR 2024/1781 v1.0,Hybrid (measured + modelled),False,Normal,,,,
DPP-TEX-00282,Textile,PLA Biodegradable Sportswear,Lanxess AG (DE),CZ,2020-09-25,v4.1,kg/unit,0.0,1,20.12,23.67,56.21,76.3,9.7,Indium (flexible display integration): 5.3291%; Dysprosium (smart textile): 8.3297%; Silver (conductive): 1.8306%,15.4894,PFAS (DWR coating),,21748.61,6850.81,8199.23,4567.21,2131.36,31.5,37.7,21.0,9.8,100,23.98,49.0,1032.59,192.306,39.55175,17.89103,,1.21792,100.0,7.3,0.408,122.0,0.0,No,High,Pyrometallurgical smelting,79.8,CN,Industrial collection,MX,4.1,9516.0,10.81,True,4.3,Cradle to Cradle Certified; ISO 50001; EPD (Environmental Product Declaration),True,True,True,False,,0.534,Medium,DEKRA,2021-01-12,2026-01-11,ESPR 2024/1781 v1.0,Third-party audit,True,Zero product weight (missing data),Medium,,,
DPP-TEX-00283,Textile,Recycled Wool Blanket,Veolia Environnement (FR),NL,2025-06-25,v5.1,kg/unit,3.877,1,47.7,,0,0.1,37.9,Silver (conductive): 3.5357%; Dysprosium (smart textile): 7.1933%,10.729,Azo dyes,True,210318.096,4095.21,5325.95,3387.26,-1916.91,,48.9,31.1,-17.6,100,121.65,20.8,158.94,189.512,49.59281,17.12171,4.693451,1.9388545,,7.1,0.689,34.0,0.0,Partial,Not assessed,Direct reuse / refurbishment,85.1,PE,Municipal WEEE,ID,8.5,11278.0,10.931,False,2.1,FSC Certified; RoHS Directive 2011/65/EU; WEEE Directive 2012/19/EU; EN 15804+A2; ISO 50001,True,True,False,False,True,0.821,Medium,TÜV SÜD,2025-07-20,2028-07-19,ESPR 2024/1781 v1.0,Third-party audit,True,GWP outlier (>8x typical),High,,,
